Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	
09/04/2017 04:49:43.104795	0.123317	-0.00814401	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:44.103821	0.124234	-0.00651016	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:45.103433	0.123033	-0.00651016	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:46.103120	0.123636	-0.00303813	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:47.102833	0.122525	-0.00679191	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:48.102588	0.122629	-0.000831309	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:49.102523	0.123485	-0.00574008	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:50.102515	0.12348	-0.00232859	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:51.102523	0.123123	-0.00249064	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:52.102137	0.122607	-0.00179381	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:53.101228	0.124034	-0.00450662	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:54.101022	0.123624	0.00121126	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:55.100120	0.123928	0.000536735	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:56.099262	0.123905	-0.000663493	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:57.099028	0.123723	-0.00106768	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:58.098104	0.122653	0.00106603	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:49:59.098084	0.122733	0.00225308	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:00.098081	0.1217	0.00154743	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:01.097863	0.121886	0.00298845	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:02.096879	0.120751	-0.000891833	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:03.096028	0.121289	-0.00214247	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:04.095807	0.122602	-0.00317695	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:05.095783	0.121671	-0.000563682	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:06.095582	0.121837	-0.0016979	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:07.095145	0.121989	0.000444371	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:08.094971	0.121503	-0.00213319	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:09.094631	0.121385	0.000615514	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:10.094336	0.120573	-0.00110502	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:11.093898	0.120656	0.000696642	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:12.093551	0.12183	0.00021832	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:13.093241	0.121363	-0.00139734	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:14.092452	0.121478	-0.00153478	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:15.092175	0.120679	-0.000653245	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:16.091866	0.121573	-0.00100564	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:17.091705	0.121414	-0.00152583	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:18.091623	0.12131	-0.000313795	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:19.091142	0.122133	0.00194781	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:20.091022	0.121419	-0.0036377	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:21.090736	0.120102	0.00215077	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:22.090451	0.120858	-7.30799e-05	0	-0.0700003	97.9282	0.979282	0.986619	
09/04/2017 04:50:23.090107	0.332662	0.571019	0	-0.0700003	91.9025	0.979282	0.919025	
09/04/2017 04:50:24.089666	0.333189	0.572516	0	-0.0700003	91.9025	0.929997	0.919025	
09/04/2017 04:50:25.089390	0.540289	0.56548	0	-0.0700003	91.1504	0.929997	0.911504	
09/04/2017 04:50:26.088966	0.541631	0.56254	0	-0.0700003	91.1504	0.926511	0.911504	
09/04/2017 04:50:27.088637	0.747241	0.576418	0	-0.0700003	88.4946	0.926511	0.884946	
09/04/2017 04:50:28.088306	0.747593	0.565812	0	-0.0700003	88.4946	0.911316	0.884946	
09/04/2017 04:50:29.087553	0.951909	0.568658	0	-0.0700003	89.0921	0.911316	0.890921	
09/04/2017 04:50:30.087434	0.954484	0.567036	0	-0.0700003	89.0921	0.912657	0.890921	
09/04/2017 04:50:31.087090	1.07524	0.339404	0	-0.0700003	87.4355	0.912657	0.874355	
09/04/2017 04:50:32.086905	1.07636	0.336085	0	-0.0700003	87.4355	0.913469	0.874355	
09/04/2017 04:50:33.086599	1.27479	0.340944	0	-0.0700003	87.7387	0.913469	0.877387	
09/04/2017 04:50:34.086223	1.27497	0.555747	0	-0.0700003	87.7387	0.91192	0.877387	
09/04/2017 04:50:35.085845	1.47819	0.569613	0	-0.0700003	88.0273	0.91192	0.880273	
09/04/2017 04:50:36.085272	1.47823	0.549891	0	-0.0700003	88.0273	0.893003	0.880273	
09/04/2017 04:50:37.084296	1.66795	0.547484	0	-0.0700003	85.1699	0.893003	0.851699	
09/04/2017 04:50:38.083520	1.66852	0.554361	0	-0.0700003	85.1699	0.862502	0.851699	
09/04/2017 04:50:39.083155	1.87292	0.577558	0	-0.0700003	86.2502	0.862502	0.885641	
09/04/2017 04:50:40.082855	1.87352	0.563099	0	-0.0700003	88.406	0.88406	0.885641	
09/04/2017 04:50:41.082332	2.07201	0.568851	0	-0.0700003	84.9117	0.88406	0.849117	
09/04/2017 04:50:42.081945	2.07151	0.571387	0	-0.0700003	84.9117	0.84933	0.849117	
09/04/2017 04:50:43.081048	2.2699	0.561218	0	-0.0700003	84.933	0.84933	0.889744	
09/04/2017 04:50:44.103183	2.2711	0.560745	0	-0.0700003	87.7444	0.877444	0.889744	
09/04/2017 04:50:45.102802	2.47926	0.557022	0	-0.0700003	87.7444	0.877444	0.900118	
09/04/2017 04:50:46.102657	2.4797	0.559462	0	-0.0700003	90.0118	0.90841	0.900118	
09/04/2017 04:50:47.102604	2.6818	0.559462	0	-0.0700003	90.0118	0.90841	0.900911	
09/04/2017 04:50:48.102525	2.68148	0.558617	0	-0.0700003	89.9776	0.899776	0.900911	
09/04/2017 04:50:49.102521	2.88604	0.57671	0	-0.0700003	89.9776	0.899776	0.900911	
