Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	LINAC1C:rdHVS_C [µA]	
09/04/2017 07:09:44.385587	14.6185	0.87899	0.1	0.0259987	45.5952	0.456799	0.455952	-3.99307	
09/04/2017 07:09:44.885200	14.6185	0.878784	0.1	0.0259987	45.5952	0.456799	0.455952	-3.81947	
09/04/2017 07:09:45.384460	14.7701	0.845437	0.1	0.0259987	44.7874	0.456799	0.447874	-3.81947	
09/04/2017 07:09:45.883468	14.7701	0.845437	0.1	0.0259987	44.7874	0.455842	0.447874	-3.99307	
09/04/2017 07:09:46.382635	14.77	0.847539	0.1	0.0259987	44.7874	0.455842	0.447874	-3.81947	
09/04/2017 07:09:46.882429	14.77	1.1552	0.1	0.0259987	44.7874	0.455842	0.447874	-3.81947	
09/04/2017 07:09:47.381820	14.9785	1.13984	0.1	0.0259987	45.5322	0.455842	0.455322	-3.81947	
09/04/2017 07:09:47.881277	14.9785	1.13939	0.1	0.0259987	45.5322	0.461018	0.455322	-3.81947	
09/04/2017 07:09:48.380716	14.979	1.13939	0.1	0.0259987	45.5322	0.461018	0.455322	-3.81947	
09/04/2017 07:09:48.879868	14.979	1.13794	0.1	0.0259987	45.5322	0.461018	0.455322	-3.81947	
09/04/2017 07:09:49.379119	15.1734	1.13298	0.1	0.0259987	42.5692	0.461018	0.425692	-3.81947	
09/04/2017 07:09:49.878490	15.1734	1.13298	0.1	0.0259987	42.5632	0.425632	0.425692	-3.99307	
09/04/2017 07:09:50.378114	15.1736	1.1384	0.1	0.0259987	42.5632	0.425632	0.425692	-3.99307	
09/04/2017 07:09:50.877349	15.1736	1.15443	0.1	0.0259987	42.5632	0.425632	0.425692	-3.99307	
09/04/2017 07:09:51.377320	15.3869	1.15443	0.1	0.0259987	42.5632	0.425632	0.461575	-3.99307	
09/04/2017 07:09:51.876516	15.3869	1.15788	0.1	0.0259987	46.0827	0.460827	0.461575	-3.81947	
09/04/2017 07:09:52.375562	15.387	1.14493	0.1	0.0259987	46.0827	0.460827	0.461575	-3.81947	
09/04/2017 07:09:52.874767	15.387	1.14493	0.1	0.0259987	46.0827	0.460827	0.461575	-3.81947	
09/04/2017 07:09:53.374780	15.6005	1.1355	0.1	0.0259987	46.0827	0.460827	0.46774	-3.81947	
09/04/2017 07:09:53.874868	15.6005	1.1355	0.1	0.0259987	46.774	0.47014	0.46774	-3.81947	
09/04/2017 07:09:54.374072	15.5998	1.12678	0.1	0.0259987	46.774	0.47014	0.46774	-3.81947	
09/04/2017 07:09:54.873136	15.5998	1.12314	0.1	0.0259987	46.774	0.47014	0.46774	-3.81947	
09/04/2017 07:09:55.373065	15.817	1.12314	0.1	0.0259987	46.7802	0.47014	0.467802	-3.81947	
09/04/2017 07:09:55.872659	15.817	1.15269	0.1	0.0259987	46.7802	0.469126	0.467802	-3.81947	
09/04/2017 07:09:56.372014	15.8177	1.15269	0.1	0.0259987	46.7802	0.469126	0.467802	-3.99307	
09/04/2017 07:09:56.871609	15.8177	1.15158	0.1	0.0259987	46.7802	0.469126	0.467802	-3.99307	
09/04/2017 07:09:57.371433	16.0327	1.12339	0.1	0.0259987	46.9126	0.469126	0.473372	-3.81947	
09/04/2017 07:09:57.871022	16.0327	1.12164	0.1	0.0259987	47.3372	0.479468	0.473372	-3.6458	
09/04/2017 07:09:58.370170	16.0318	1.12164	0.1	0.0259987	47.3372	0.479468	0.473372	-3.81947	
09/04/2017 07:09:58.869456	16.0318	1.12217	0.1	0.0259987	47.3372	0.479468	0.473372	-3.81947	
09/04/2017 07:09:59.368537	16.2466	1.12217	0.1	0.0259987	45.8538	0.479468	0.458538	-3.81947	
09/04/2017 07:09:59.868169	16.2466	1.15681	0.1	0.0259987	45.8538	0.465604	0.458538	-3.81947	
09/04/2017 07:10:00.367542	16.2468	0.647109	0.1	0.0259987	45.8538	0.465604	0.458538	-3.99307	
09/04/2017 07:10:00.867206	16.2468	0.642068	0.1	0.0259987	45.8538	0.465604	0.458538	-3.99307	
09/04/2017 07:10:01.367030	16.4675	0.642068	0.1	0.0259987	46.5604	0.465604	0.478185	-3.99307	
09/04/2017 07:10:01.866834	16.4675	1.14673	0.1	0.0259987	47.8185	0.480072	0.478185	-3.81947	
09/04/2017 07:10:02.366786	16.4664	1.14673	0.1	0.0259987	47.8185	0.480072	0.478185	-3.81947	
09/04/2017 07:10:02.866593	16.4664	1.14942	0.1	0.0259987	47.8185	0.480072	0.478185	-3.81947	
09/04/2017 07:10:03.366613	16.6709	1.14942	0.1	0.0259987	44.0337	0.480072	0.440337	-3.81947	
09/04/2017 07:10:03.866268	16.6709	1.1621	0.1	0.0259987	43.9352	0.439352	0.440337	-3.81947	
09/04/2017 07:10:04.366086	16.6704	1.15651	0.1	0.0259987	43.9352	0.439352	0.440337	-3.81947	
09/04/2017 07:10:04.865352	16.6704	1.15651	0.1	0.0259987	43.9352	0.439352	0.440337	-3.81947	
09/04/2017 07:10:05.364436	16.8846	1.14532	0.1	0.0259987	43.9352	0.439352	0.465311	-3.81947	
09/04/2017 07:10:05.863921	16.8846	1.14209	0.1	0.0259987	46.5311	0.469138	0.465311	-3.81947	
09/04/2017 07:10:06.363566	16.8838	1.14209	0.1	0.0259987	46.5311	0.469138	0.465311	-3.99307	
09/04/2017 07:10:06.862834	16.8838	1.15071	0.1	0.0259987	46.5311	0.469138	0.465311	-3.81947	
09/04/2017 07:10:07.362228	17.1006	1.14281	0.1	0.0259987	46.9138	0.469138	0.472541	-3.99307	
09/04/2017 07:10:07.861915	17.1006	1.14232	0.1	0.0259987	47.2541	0.473155	0.472541	-3.6458	
09/04/2017 07:10:08.361173	17.0989	1.14232	0.1	0.0259987	47.2541	0.473155	0.472541	-3.81947	
09/04/2017 07:10:08.860346	17.0989	1.15169	0.1	0.0259987	47.2541	0.473155	0.472541	-3.81947	
09/04/2017 07:10:09.359533	17.3234	1.15268	0.1	0.0259987	47.3155	0.473155	0.486586	-3.81947	
09/04/2017 07:10:09.859274	17.3234	1.15531	0.1	0.0259987	48.6586	0.488358	0.486586	-3.99307	
09/04/2017 07:10:10.359134	17.324	1.14967	0.1	0.0259987	48.6586	0.488358	0.486586	-3.99307	
09/04/2017 07:10:10.858623	17.324	1.14967	0.1	0.0259987	48.6586	0.488358	0.486586	-3.99307	
09/04/2017 07:10:11.357848	17.5136	1.14344	0.1	0.0259987	41.1878	0.488358	0.411878	-3.81947	
09/04/2017 07:10:11.857508	17.5136	1.14344	0.1	0.0259987	40.9676	0.409676	0.411878	-3.99307	
09/04/2017 07:10:12.357061	17.5127	1.14756	0.1	0.0259987	40.9676	0.409676	0.411878	-3.81947	
09/04/2017 07:10:12.856794	17.5127	1.14756	0.1	0.0259987	40.9676	0.409676	0.411878	-3.81947	
09/04/2017 07:10:13.356697	17.7312	1.15034	0.1	0.0259987	40.9676	0.409676	0.476974	-3.81947	
09/04/2017 07:10:13.856210	17.7312	1.14933	0.1	0.0259987	47.4447	0.474447	0.476974	-3.99307	
