Time	PKC00V []	PSEK2D1R:set [kV]	PAHB:sCavSet [kV]	PAHR:sCavSet []	TOPUPCC:rdCur [mA]	TOPUPCC:rdEffBoostR [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	PAHB:sDelay [ns]	PAHB:pDelay [ns]	
05/07/2019 21:30:21.282169	0.124632	1.3953	775	1400	18.2097	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:22.282211	0.124632	1.3953	775	1400	18.2094	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:23.282116	0.124632	1.3953	775	1400	18.209	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:24.282030	0.124632	1.3953	775	1400	18.209	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:25.281197	0.124632	1.3953	775	1400	18.208	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:26.281182	0.124632	1.3953	775	1400	18.2072	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:27.281055	0.124632	1.3953	775	1400	18.2072	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:28.280127	0.124632	1.3953	775	1400	18.2065	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:29.280310	0.124632	1.3953	775	1400	18.2067	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:30.279655	0.124632	1.3953	775	1400	18.2076	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:31.278941	0.124632	1.3953	775	1400	18.2056	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:32.278513	0.124632	1.3953	775	1400	18.2069	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:33.277841	0.124632	1.3953	775	1400	18.2056	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:34.277256	0.124632	1.3953	775	1400	18.2054	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:35.276771	0.124632	1.3953	775	1400	18.2056	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:36.276256	0.124632	1.3953	775	1400	18.2051	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:37.275344	0.124632	1.3953	775	1400	18.2058	75.9752	0.768125	0.759752	2	2.0156	
05/07/2019 21:30:38.274380	0.124632	1.3953	775	1400	18.2062	75.9752	0.768125	0.759752	0	2.01591	
05/07/2019 21:30:39.274330	0.124632	1.3953	775	1400	18.2061	75.9752	0.768125	0.759752	0	1.97345	
05/07/2019 21:30:40.274114	0.124632	1.3953	775	1400	18.2055	75.9752	0.768125	0.759752	0	1.92015	
05/07/2019 21:30:41.273145	0.124632	1.3953	775	1400	18.206	75.9752	0.768125	0.759752	0	1.84054	
05/07/2019 21:30:42.272333	0.124632	1.3953	775	1400	18.2045	75.9752	0.768125	0.759752	0	1.787	
05/07/2019 21:30:43.272174	0.124632	1.3953	775	1400	18.2043	75.9752	0.768125	0.759752	0	1.70684	
05/07/2019 21:30:44.271763	0.124632	1.3953	775	1400	18.2049	75.9752	0.768125	0.759752	0	1.6533	
05/07/2019 21:30:45.271227	0.124632	1.3953	775	1400	18.2048	75.9752	0.768125	0.759752	0	1.57361	
05/07/2019 21:30:46.270379	0.124632	1.3953	775	1400	18.2044	75.9752	0.768125	0.759752	0	1.51999	
05/07/2019 21:30:47.269554	0.124632	1.3953	775	1400	18.2034	75.9752	0.768125	0.759752	0	1.43992	
05/07/2019 21:30:48.269234	0.124632	1.3953	775	1400	18.2025	75.9752	0.768125	0.759752	0	1.38661	
05/07/2019 21:30:49.268738	0.124632	1.3953	775	1400	18.2039	75.9752	0.768125	0.759752	0	1.30645	
05/07/2019 21:30:50.268320	0.124632	1.3953	775	1400	18.2032	75.9752	0.768125	0.759752	0	1.25377	
05/07/2019 21:30:51.267526	0.124632	1.3953	775	1400	18.2034	75.9752	0.768125	0.759752	0	1.17369	
05/07/2019 21:30:52.266693	0.124632	1.3953	775	1400	18.2033	75.9752	0.768125	0.759752	0	1.12008	
05/07/2019 21:30:53.265975	0.124632	1.3953	775	0	12.6984	75.9752	0.768125	0.759752	0	1.04031	
05/07/2019 21:30:54.265308	0.124632	1.3953	775	0	0	75.9752	0.768125	0.759752	0	0.986301	
05/07/2019 21:30:55.264769	0.124632	1.3953	775	0	0	75.9752	0.768125	0.759752	0	0.906614	
05/07/2019 21:30:56.264148	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.853073	
05/07/2019 21:30:57.263763	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.773152	
05/07/2019 21:30:58.263524	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.720002	
05/07/2019 21:30:59.262997	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.640002	
05/07/2019 21:31:00.262887	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.586774	
05/07/2019 21:31:01.262253	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.506306	
05/07/2019 21:31:02.261260	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.452999	
05/07/2019 21:31:03.260816	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.372766	
05/07/2019 21:31:04.260110	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.319459	
05/07/2019 21:31:05.260111	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.239928	
05/07/2019 21:31:06.260111	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.186387	
