Time	TOPUPCC:rdCurrentB [mA]	PSEK2D1R:set [kV]	PAHB:sCavSet [kV]	PAHR:sCavSet []	TOPUPCC:rdCur [mA]	TOPUPCC:rdEffBoostR [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	PAHB:sDelay [ns]	PAHB:pDelay [ns]	
05/08/2019 14:55:43.977895	0.623852	1.3963	775	1400	46.3456	-1	-0.000135104	-0.00817908	0.44	0.382288	
05/08/2019 14:55:44.977126	0.622049	1.3963	775	1400	46.3449	-1	-0.000135104	0.00466972	0.44	0.382288	
05/08/2019 14:55:45.976581	0.703139	1.3963	775	1400	46.3417	-1	0.00295633	0.00466972	0.45	0.392278	
05/08/2019 14:55:46.976039	0.701797	1.3963	775	1400	46.341	-1	0.00295633	0.00863415	0.45	0.392824	
05/08/2019 14:55:47.975350	0.664149	1.3963	775	1400	46.3393	-1	0.00211814	0.00863415	0.46	0.402658	
05/08/2019 14:55:48.974713	0.657633	1.3963	775	1400	46.3377	-1	0.00211814	0.000310329	0.46	0.402658	
05/08/2019 14:55:49.974532	0.663735	1.3963	775	1400	46.3361	-1	0.00248971	0.000310329	0.47	0.413273	
05/08/2019 14:55:50.973559	0.709292	1.3963	775	1400	46.3347	-1	0.00248971	0.000405399	0.47	0.413273	
05/08/2019 14:55:51.972981	0.689168	1.3963	775	1400	46.3324	-1	0.00178618	0.000405399	0.48	0.423887	
05/08/2019 14:55:52.971992	0.683837	1.3963	775	1400	46.3308	-1	0.00178618	0.00294262	0.48	0.423887	
05/08/2019 14:55:53.971901	0.685683	1.3963	775	1400	46.329	-1	0.00080774	0.00294262	0.49	0.433956	
05/08/2019 14:55:54.971278	0.700037	1.3963	775	1400	46.3282	-1	0.00080774	0.00402576	0.49	0.434736	
05/08/2019 14:55:55.971267	0.700638	1.3963	775	1400	46.3264	-1	-0.00723012	0.00402576	0.5	0.444804	
05/08/2019 14:55:56.970541	0.701456	1.3963	775	1400	46.325	-1	-0.00723012	0.0016115	0.5	0.444804	
