Time	PKC00V []	PSEK2D1R:set [kV]	PAHB:sCavSet [kV]	PAHR:sCavSet []	TOPUPCC:rdCur [mA]	TOPUPCC:rdEffBoostR [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	PAHB:sDelay [ns]	PAHB:pDelay [ns]	
05/08/2019 00:57:44.650412	0.124632	1.3953	775	1400	0.455532	89.1004	0.894928	0.891004	0	-0.0703125	
05/08/2019 00:57:45.649533	0.124632	1.3953	775	1400	0.535676	90.6345	0.907653	0.906345	0	-0.0703125	
05/08/2019 00:57:46.649578	0.124632	1.3953	775	1400	0.535356	90.6345	0.907653	0.906345	0.01	-0.0703125	
05/08/2019 00:57:47.648742	0.124632	1.3953	775	1400	0.616587	90.3823	0.91777	0.903823	0.01	-0.0703125	
05/08/2019 00:57:48.648569	0.124632	1.3953	775	1400	0.616262	90.3823	0.91777	0.903823	0.02	-0.0703125	
05/08/2019 00:57:49.647700	0.124632	1.3953	775	1400	0.689824	90.4576	0.904576	0.916802	0.02	-0.0604004	
05/08/2019 00:57:50.647321	0.124632	1.3953	775	1400	0.688981	90.4576	0.904576	0.916802	0.03	-0.0578248	
05/08/2019 00:57:51.646473	0.124632	1.3953	775	1400	0.778975	91.109	0.924462	0.91109	0.03	-0.0473664	
05/08/2019 00:57:52.646302	0.124632	1.3953	775	1400	0.780221	91.109	0.924462	0.91109	0.04	-0.0473664	
05/08/2019 00:57:53.646146	0.124632	1.3953	775	1400	0.863005	89.4392	0.894392	0.900611	0.04	-0.036908	
05/08/2019 00:57:54.646121	0.124632	1.3953	775	1400	0.860418	89.4392	0.894392	0.900611	0.05	-0.036908	
05/08/2019 00:57:55.645943	0.124632	1.3953	775	1400	0.912834	91.7759	0.917759	0.959511	0.05	-0.0262934	
05/08/2019 00:57:56.645572	0.124632	1.3953	775	1400	0.913414	91.7759	0.917759	0.959511	0.06	-0.0262934	
05/08/2019 00:57:57.645358	0.124632	1.3953	775	1400	0.966	92.234	0.944162	0.92234	0.06	-0.0159911	
05/08/2019 00:57:58.644797	0.124632	1.3953	775	1400	0.967069	92.234	0.944162	0.92234	0.07	-0.0159911	
05/08/2019 00:57:59.644287	0.124632	1.3953	775	1400	1.05288	88.5076	0.909808	0.885076	0.07	-0.00545462	
05/08/2019 00:58:00.644326	0.124632	1.3953	775	1400	1.05437	88.5076	0.909808	0.885076	0.08	-0.00545462	
05/08/2019 00:58:01.644129	0.124632	1.3953	775	1400	1.13371	90.5287	0.921961	0.905287	0.08	0.005316	
05/08/2019 00:58:02.643987	0.124632	1.3953	775	1400	1.13345	90.5287	0.921961	0.905287	0.09	0.005316	
05/08/2019 00:58:03.643531	0.124632	1.3953	775	1400	1.20812	91.8024	0.918024	0.940651	0.09	0.0154622	
05/08/2019 00:58:04.643333	0.124632	1.3953	775	1400	1.20703	91.8024	0.918024	0.940651	0.1	0.0154622	
05/08/2019 00:58:05.643147	0.124632	1.3953	775	1400	1.274	92.4919	0.925384	0.924919	0.1	0.0259987	
05/08/2019 00:58:06.642189	0.124632	1.3953	775	1400	1.27442	92.4919	0.925384	0.924919	0.11	0.0259987	
05/08/2019 00:58:07.642097	0.124632	1.3953	775	1400	1.35554	90.976	0.936304	0.90976	0.11	0.0366132	
05/08/2019 00:58:08.641215	0.124632	1.3953	775	1400	1.35516	90.976	0.936304	0.90976	0.12	0.0366132	
05/08/2019 00:58:09.640528	0.124632	1.3953	775	1400	1.43525	89.3388	0.895975	0.893388	0.12	0.0471497	
05/08/2019 00:58:10.639716	0.124632	1.3953	775	1400	1.43567	89.3388	0.895975	0.893388	0.13	0.0471497	
05/08/2019 00:58:11.639726	0.124632	1.3953	775	1400	1.43589	89.3388	0.895975	0.893388	0.13	0.0575301	
05/08/2019 00:58:12.638792	0.124632	1.3953	775	1400	1.43549	89.3388	0.895975	0.893388	0.14	0.0575301	
05/08/2019 00:58:13.638650	0.124632	1.3953	775	1400	1.43776	89.3388	0.895975	0.893388	0.14	0.0575301	
05/08/2019 00:58:14.638485	0.124632	1.3953	775	1400	1.43658	89.3388	0.895975	0.893388	0.14	0.0673642	
05/08/2019 00:58:15.638401	0.124632	1.3953	775	1400	1.43733	89.3388	0.895975	0.893388	0.14	0.0679105	
05/08/2019 00:58:16.638401	0.124632	1.3953	775	1400	1.43605	89.3388	0.895975	0.893388	0.14	0.0679105	
05/08/2019 00:58:17.637731	0.124632	1.3953	775	1400	1.43606	89.3388	0.895975	0.893388	0.14	0.0679105	
05/08/2019 00:58:18.637542	0.124632	1.3953	775	1400	1.43725	89.3388	0.895975	0.893388	0.14	0.0679105	
05/08/2019 00:58:19.636586	0.124632	1.3953	775	1400	1.43717	89.3388	0.895975	0.893388	0.14	0.0679105	
05/08/2019 00:58:20.636357	0.124632	1.3953	775	1400	1.4366	89.3388	0.895975	0.893388	0.14	0.0679105	
05/08/2019 00:58:21.635964	0.124632	1.3953	775	1400	1.43613	89.3388	0.895975	0.893388	0	0.0649447	
05/08/2019 00:58:22.635741	0.124632	1.3953	775	1400	1.4351	89.3388	0.895975	0.893388	0	0.0114037	
05/08/2019 00:58:23.635636	0.124632	1.3953	775	1400	1.43549	89.3388	0.895975	0.893388	0	-0.0538444	
05/08/2019 00:58:24.635401	0.124632	1.3953	775	1400	1.43528	89.3388	0.895975	0.893388	0	-0.0682833	
05/08/2019 00:58:25.635348	0.124632	1.3953	775	1400	1.43667	89.3388	0.895975	0.893388	0	-0.0703125	
05/08/2019 00:58:26.635161	0.124632	1.3953	775	1400	1.43725	89.3388	0.895975	0.893388	0	-0.0703125	
05/08/2019 00:58:27.634634	0.124632	1.3953	775	1400	1.43698	89.3388	0.895975	0.893388	0	-0.0703125	
05/08/2019 00:58:28.634161	0.124632	1.3953	775	1400	1.43737	89.3388	0.895975	0.893388	0	-0.0703125	
05/08/2019 00:58:29.633915	0.124632	1.3953	775	1400	1.43584	89.3388	0.895975	0.893388	0	-0.0703125	
05/08/2019 00:58:30.633631	0.124632	1.3953	775	1400	1.43719	89.3388	0.895975	0.893388	0	-0.0703125	
05/08/2019 00:58:31.632742	0.124632	1.3953	775	1400	1.43682	89.3388	0.895975	0.893388	0	-0.0703125	
05/08/2019 00:58:32.631766	0.124632	1.3953	775	1400	1.43569	89.3388	0.895975	0.893388	0	-0.0703125	
05/08/2019 00:58:33.631116	0.124632	1.3953	775	1400	1.43573	89.3388	0.895975	0.893388	0	-0.0703125	
