Time	TOPUPCC:rdCurrentB [mA]	PSEK2D1R:set [kV]	PAHB:sCavSet [kV]	PAHR:sCavSet []	TOPUPCC:rdCur [mA]	TOPUPCC:rdEffBoostR [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	PAHB:sDelay [ns]	PAHB:pDelay [ns]	
05/08/2019 04:02:10.900933	0.511223	1.3953	775	1400	8.4712	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:11.900017	0.545481	1.3953	775	1400	8.47201	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:12.899908	0.592398	1.3953	775	1400	8.47169	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:13.899153	0.558649	1.3953	775	1400	8.47227	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:14.898305	0.594622	1.3953	775	1400	8.47193	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:15.898314	0.545648	1.3953	775	1400	8.471	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:16.898335	0.573285	1.3953	775	1400	8.47041	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:17.897733	0.503889	1.3953	775	1400	8.47085	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:18.896856	0.483276	1.3953	775	1400	8.47112	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:19.896172	0.402721	1.3953	775	1400	8.46949	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:20.895448	0.38041	1.3953	775	1400	8.46827	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:21.895252	0.331565	1.3953	775	1400	8.46869	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:22.894443	0.355298	1.3953	775	1400	8.4672	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:23.894277	0.37512	1.3953	775	1400	8.46766	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:24.893814	0.40281	1.3953	775	1400	8.4667	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:25.893382	0.392944	1.3953	775	1400	8.46663	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:26.892713	0.438433	1.3953	775	1400	8.46666	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:27.892465	0.438717	1.3953	775	1400	8.46645	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:28.891880	0.537003	1.3953	775	1400	8.46725	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:29.891395	0.560847	1.3953	775	1400	8.46639	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:30.891102	0.591483	1.3953	775	1400	8.46633	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:31.890313	0.586513	1.3953	775	1400	8.4659	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:32.889833	0.161929	1.3953	775	1400	8.46571	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:33.889344	0.525128	1.3953	775	1400	8.46482	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:34.888691	0.442608	1.3953	775	1400	8.46544	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:35.888210	0.383147	1.3953	775	1400	8.46318	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:36.888097	0.468117	1.3953	775	1400	8.46344	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:37.887322	0.293709	1.3953	775	1400	8.46169	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:38.886624	0.293184	1.3953	775	1400	8.46111	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:39.886234	0.200071	1.3953	775	1400	8.46109	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:40.885466	0.317278	1.3953	775	1400	8.46179	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:41.885225	0.210228	1.3953	775	1400	8.46158	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:42.884616	0.218069	1.3953	775	1400	8.46048	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:43.884393	0.518449	1.3953	775	1400	8.45794	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:44.884698	0.534827	1.3953	775	1400	8.45822	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:45.883636	0.604731	1.3953	775	1400	8.45819	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:46.882899	0.538401	1.3953	775	1400	8.45788	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:47.882600	0.598676	1.3953	775	1400	8.459	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:48.882052	0.602856	1.3953	775	1400	8.45746	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:49.881269	0.599869	1.3953	775	1400	8.45662	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:50.881232	0.530479	1.3953	775	1400	8.45472	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:51.880544	0.538325	1.3953	775	1400	8.45574	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:52.879910	0.608552	1.3953	775	1400	8.45496	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:53.879038	0.154125	1.3953	775	1400	8.45477	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:54.878899	0.600075	1.3953	775	1400	8.45326	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:55.878111	0.536855	1.3953	775	1400	8.45344	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:56.877770	0.57779	1.3953	775	1400	8.45225	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:57.878093	0.600582	1.3953	775	1400	8.45259	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:58.877252	0.52722	1.3953	775	1400	8.45237	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:02:59.876879	0.512312	1.3953	775	1400	8.4517	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:03:00.876101	0.560566	1.3953	775	1400	8.45088	87.2809	0.872809	0.876431	0	-0.0703125	
05/08/2019 04:03:01.875478	0.214814	1.3953	775	1400	8.52741	89.2656	0.892656	0.900229	0	-0.0703125	
05/08/2019 04:03:02.875122	0.564534	1.3953	775	1400	8.52613	89.2656	0.892656	0.900229	0	-0.0703125	
05/08/2019 04:03:03.875012	0.532234	1.3953	775	1400	8.71482	88.7857	0.887987	0.887857	0	-0.0703125	
05/08/2019 04:03:04.874748	0.589035	1.3953	775	1400	8.71367	88.7857	0.887987	0.887857	0	-0.0703125	
05/08/2019 04:03:05.874508	0.570092	1.3953	775	1400	8.92173	91.6038	0.916038	0.917422	0	-0.0703125	
